,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
64,2020,50m,Freestyle,Women,AUS,Emma Mckeon,23.81,1
135,2016,50m,Freestyle,Women,DEN,Pernille Blume,24.07,1
205,2012,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.05,1
273,2008,50m,Freestyle,Women,GER,Britta Steffen,24.06,1
329,2004,50m,Freestyle,Women,NED,Inge De Bruijn,24.58,1
385,2000,50m,Freestyle,Women,NED,Inge De Bruijn,24.32,1
436,1996,50m,Freestyle,Women,USA,Amy Van Dyken,24.87,1
490,1992,50m,Freestyle,Women,CHN,Wenyi Yang,24.79,1
542,1988,50m,Freestyle,Women,GDR,Kristin Otto,25.49,1
