,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
614,1980,100m,Freestyle,Women,SWE,Agneta Eriksson,57.9,4
639,1976,100m,Freestyle,Women,GDR,Kornelia Ender,55.65,1
640,1976,100m,Freestyle,Women,GDR,Petra Priemer,56.49,2
641,1976,100m,Freestyle,Women,NED,Enith Brigitha,56.65,3
642,1976,100m,Freestyle,Women,USA,Kim Marie Peyton,56.81,4
643,1976,100m,Freestyle,Women,USA,Shirley Farber Babashoff,56.95,4
644,1976,100m,Freestyle,Women,GDR,Claudia Hempel,56.99,4
645,1976,100m,Freestyle,Women,USA,Jill Sterkel,57.06,4
646,1976,100m,Freestyle,Women,FRG,Judith (Jutta) Weber,57.26,4
670,1972,100m,Freestyle,Women,USA,Alexandra Lynn Neilson,58.59,3
671,1972,100m,Freestyle,Women,USA,Shirley Farber Babashoff,59.02,4
672,1972,100m,Freestyle,Women,AUS,Shane Gould,59.06,4
673,1972,100m,Freestyle,Women,GDR,Gabriele Wetzko,59.21,4
674,1972,100m,Freestyle,Women,FRG,Heidemarie Reineck,59.73,4
675,1972,100m,Freestyle,Women,GDR,Andrea Eife,59.91,4
701,1964,100m,Freestyle,Women,AUS,Dawn Fraser,59.5,4
702,1964,100m,Freestyle,Women,USA,Sharon Marie Stouder,59.9,4
