,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results
32,2020,50m,Freestyle,Men,USA,Caeleb Dressel,21.07
33,2020,50m,Freestyle,Men,FRA,Florent Manaudou,21.55
34,2020,50m,Freestyle,Men,BRA,Bruno Fratus,21.57
35,2020,50m,Freestyle,Men,USA,Michael Andrew,21.6
36,2020,50m,Freestyle,Men,GBR,Ben Proud,21.72
37,2020,50m,Freestyle,Men,GRE,Kristian Gkolomeev,21.72
38,2020,50m,Freestyle,Men,ITA,Lorenzo Zazzeri,21.78
39,2020,50m,Freestyle,Men,NED,Thom De Boer,21.79
127,2016,50m,Freestyle,Men,USA,Anthony Ervin,21.4
128,2016,50m,Freestyle,Men,FRA,Florent Manaudou,21.41
129,2016,50m,Freestyle,Men,USA,Nathan Adrian,21.49
130,2016,50m,Freestyle,Men,GBR,Ben Proud,21.68
131,2016,50m,Freestyle,Men,UKR,Andriy Hovorov,21.74
132,2016,50m,Freestyle,Men,BRA,Bruno Fratus,21.79
133,2016,50m,Freestyle,Men,RSA,Bradley Edward Tandy,21.79
134,2016,50m,Freestyle,Men,LTU,Simonas Bilis,22.08
197,2012,50m,Freestyle,Men,FRA,Florent Manaudou,21.34
198,2012,50m,Freestyle,Men,USA,Cullen Jones,21.54
199,2012,50m,Freestyle,Men,BRA,Cesar Cielo Filho,21.59
200,2012,50m,Freestyle,Men,BRA,Bruno Fratus,21.61
201,2012,50m,Freestyle,Men,USA,Anthony Ervin,21.78
202,2012,50m,Freestyle,Men,RSA,Roland Schoeman,21.8
203,2012,50m,Freestyle,Men,TTO,George Bovell,21.82
204,2012,50m,Freestyle,Men,AUS,Eamon Sullivan,21.98
265,2008,50m,Freestyle,Men,BRA,Cesar Cielo Filho,21.3
266,2008,50m,Freestyle,Men,FRA,Amaury Leveaux,21.45
267,2008,50m,Freestyle,Men,FRA,Alain Bernard,21.49
268,2008,50m,Freestyle,Men,AUS,Ashley Callus,21.62
269,2008,50m,Freestyle,Men,USA,Ben Wildman-Tobriner,21.64
270,2008,50m,Freestyle,Men,AUS,Eamon Sullivan,21.65
271,2008,50m,Freestyle,Men,RSA,Roland Schoeman,21.67
272,2008,50m,Freestyle,Men,SWE,Stefan Nystrand,21.72
321,2004,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.93
322,2004,50m,Freestyle,Men,CRO,Duje Draganja,21.94
323,2004,50m,Freestyle,Men,RSA,Roland Schoeman,22.02
324,2004,50m,Freestyle,Men,SWE,Stefan Nystrand,22.08
325,2004,50m,Freestyle,Men,USA,Jason Lezak,22.11
326,2004,50m,Freestyle,Men,AUS,Brett Hawke,22.18
327,2004,50m,Freestyle,Men,UKR,Oleksandr Volynets,22.26
328,2004,50m,Freestyle,Men,ALG,Salim Iles,22.37
377,2000,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.98
378,2000,50m,Freestyle,Men,USA,Anthony Ervin,21.98
379,2000,50m,Freestyle,Men,NED,Pieter Van Den Hoogenband,22.03
380,2000,50m,Freestyle,Men,ITA,Lorenzo Vismara,22.11
381,2000,50m,Freestyle,Men,POL,Bartosz Kizierowski,22.22
382,2000,50m,Freestyle,Men,RUS,Alexander Popov,22.24
383,2000,50m,Freestyle,Men,GBR,Mark Andrew Foster,22.41
384,2000,50m,Freestyle,Men,UKR,Oleksandr Volynets,22.51
428,1996,50m,Freestyle,Men,RUS,Alexander Popov,22.13
429,1996,50m,Freestyle,Men,USA,"Gary Hall, Jr.",22.26
430,1996,50m,Freestyle,Men,BRA,Fernando Scherer,22.29
431,1996,50m,Freestyle,Men,CHN,Chengji Jiang,22.33
432,1996,50m,Freestyle,Men,RSA,Brendon Dedekind,22.59
433,1996,50m,Freestyle,Men,USA,David Fox,22.68
434,1996,50m,Freestyle,Men,VEN,Francisco Sanchez,22.72
435,1996,50m,Freestyle,Men,PUR,Ricardo Busquets Healy,22.73
482,1992,50m,Freestyle,Men,EUN,Alexander Popov,21.91
483,1992,50m,Freestyle,Men,USA,Matthew Biondi,22.09
484,1992,50m,Freestyle,Men,USA,Thomas Michael Jager,22.3
485,1992,50m,Freestyle,Men,FRA,Christophe Kalfayan,22.5
486,1992,50m,Freestyle,Men,RSA,Peter Rowan Williams,22.5
487,1992,50m,Freestyle,Men,GBR,Mark Andrew Foster,22.52
488,1992,50m,Freestyle,Men,EUN,Gennady Prigoda,22.54
489,1992,50m,Freestyle,Men,GER,Nils Rudolph,22.73
534,1988,50m,Freestyle,Men,USA,Matthew Biondi,22.14
535,1988,50m,Freestyle,Men,USA,Thomas Michael Jager,22.36
536,1988,50m,Freestyle,Men,URS,Gennady Prigoda,22.71
537,1988,50m,Freestyle,Men,SUI,Dano Halsall,22.83
538,1988,50m,Freestyle,Men,SUI,Stefan Volery,22.84
539,1988,50m,Freestyle,Men,URS,Vladimir Tkachenko,22.88
540,1988,50m,Freestyle,Men,FRG,Frank Henter,23.03
541,1988,50m,Freestyle,Men,AUS,Andrew James Baildon,23.15
