,Unnamed: 0,Location,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
292,467,Rio,2016,50m,Freestyle,Women,GBR,Francesca Halsall,24.13,4
293,468,Rio,2016,50m,Freestyle,Women,AUS,Cate Campbell,24.15,4
294,469,Rio,2016,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.19,4
295,470,Rio,2016,50m,Freestyle,Women,AUS,Bronte Campbell,24.42,4
296,471,Rio,2016,50m,Freestyle,Women,BRA,Etiene Medeiros,24.69,4
297,480,London,2012,100m,Backstroke,Men,USA,Matt Grevers,52.16,1
298,481,London,2012,100m,Backstroke,Men,USA,Nick Thoman,52.92,2
299,482,London,2012,100m,Backstroke,Men,JPN,Ryosuke Irie,52.97,3
300,483,London,2012,100m,Backstroke,Men,FRA,Camille Lacourt,53.08,4
301,484,London,2012,100m,Backstroke,Men,GBR,Liam Tancock,53.35,4
302,485,London,2012,100m,Backstroke,Men,GER,Helge Meeuw,53.48,4
303,486,London,2012,100m,Backstroke,Men,AUS,Hayden Stoeckel,53.55,4
304,487,London,2012,100m,Backstroke,Men,CHN,Feiyi Cheng,53.77,4
305,488,London,2012,100m,Backstroke,Women,USA,Missy Franklin,58.33,2
306,489,London,2012,100m,Backstroke,Women,AUS,Emily Seebohm,58.68,3
307,490,London,2012,100m,Backstroke,Women,JPN,Aya Terakawa,58.83,4
308,491,London,2012,100m,Backstroke,Women,RUS,Anastasia Zueva,59.0,4
309,492,London,2012,100m,Backstroke,Women,GBR,Gemma Spofforth,59.2,4
310,493,London,2012,100m,Backstroke,Women,CHN,Jing Zhao,59.23,4
311,494,London,2012,100m,Backstroke,Women,AUS,Belinda Hocking,59.29,4
312,496,London,2012,100m,Breaststroke,Men,RSA,Cameron Van Der Burgh,58.46,2
313,497,London,2012,100m,Breaststroke,Men,AUS,Christian Sprenger,58.93,3
314,498,London,2012,100m,Breaststroke,Men,USA,Brendan Hansen,59.49,4
315,499,London,2012,100m,Breaststroke,Men,HUN,Daniel Gyurta,59.53,4
316,500,London,2012,100m,Breaststroke,Men,JPN,Kosuke Kitajima,59.79,4
317,501,London,2012,100m,Breaststroke,Men,AUS,Brenton Rickard,59.87,4
318,502,London,2012,100m,Breaststroke,Men,ITA,Fabio Scozzoli,59.97,4
319,512,London,2012,100m,Butterfly,Men,USA,Michael Phelps,51.21,1
320,513,London,2012,100m,Butterfly,Men,RSA,Chad Le Clos,51.44,2
321,514,London,2012,100m,Butterfly,Men,RUS,Evgeny Korotyshkin,51.44,2
322,515,London,2012,100m,Butterfly,Men,SRB,Milorad Cavic,51.81,4
323,516,London,2012,100m,Butterfly,Men,GER,Steffen Deibler,51.81,4
324,517,London,2012,100m,Butterfly,Men,NED,Joeri Verlinden,51.82,4
325,518,London,2012,100m,Butterfly,Men,USA,Tyler Mcgill,51.88,4
326,519,London,2012,100m,Butterfly,Men,POL,Konrad Czerniak,52.05,4
327,520,London,2012,100m,Butterfly,Women,USA,Dana Vollmer,55.98,1
328,521,London,2012,100m,Butterfly,Women,CHN,Ying Lu,56.87,2
329,522,London,2012,100m,Butterfly,Women,AUS,Alicia Coutts,56.94,3
330,523,London,2012,100m,Butterfly,Women,SWE,Sarah Sjostrom,57.17,4
331,524,London,2012,100m,Butterfly,Women,ITA,Ilaria Bianchi,57.27,4
332,525,London,2012,100m,Butterfly,Women,DEN,Jeanette Ottesen,57.35,4
333,526,London,2012,100m,Butterfly,Women,USA,Claire Donahue,57.48,4
334,527,London,2012,100m,Butterfly,Women,GBR,Ellen Gandy,57.76,4
335,528,London,2012,100m,Freestyle,Men,USA,Nathan Adrian,47.52,1
336,529,London,2012,100m,Freestyle,Men,AUS,James Magnussen,47.53,2
337,530,London,2012,100m,Freestyle,Men,CAN,Brent Hayden,47.8,3
338,531,London,2012,100m,Freestyle,Men,FRA,Yannick Agnel,47.84,4
339,532,London,2012,100m,Freestyle,Men,NED,Sebastiaan Verschuren,47.88,4
340,533,London,2012,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.92,4
341,534,London,2012,100m,Freestyle,Men,CUB,Hanser Garcia,48.04,4
342,535,London,2012,100m,Freestyle,Men,RUS,Nikita Lobintsev,48.44,4
343,536,London,2012,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.0,1
344,537,London,2012,100m,Freestyle,Women,BLR,Aliaksandra Herasimenia,53.38,2
345,538,London,2012,100m,Freestyle,Women,CHN,Yi Tang,53.44,3
346,539,London,2012,100m,Freestyle,Women,AUS,Melanie Schlanger,53.47,4
347,540,London,2012,100m,Freestyle,Women,USA,Missy Franklin,53.64,4
348,541,London,2012,100m,Freestyle,Women,GBR,Francesca Halsall,53.66,4
349,542,London,2012,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.75,4
350,543,London,2012,100m,Freestyle,Women,USA,Jessica Hardy,54.02,4
352,712,London,2012,50m,Freestyle,Men,FRA,Florent Manaudou,21.34,1
353,713,London,2012,50m,Freestyle,Men,USA,Cullen Jones,21.54,2
354,714,London,2012,50m,Freestyle,Men,BRA,Cesar Cielo Filho,21.59,3
355,715,London,2012,50m,Freestyle,Men,BRA,Bruno Fratus,21.61,4
356,716,London,2012,50m,Freestyle,Men,USA,Anthony Ervin,21.78,4
357,717,London,2012,50m,Freestyle,Men,RSA,Roland Schoeman,21.8,4
358,718,London,2012,50m,Freestyle,Men,TTO,George Bovell,21.82,4
359,719,London,2012,50m,Freestyle,Men,AUS,Eamon Sullivan,21.98,4
360,720,London,2012,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.05,1
361,721,London,2012,50m,Freestyle,Women,BLR,Aliaksandra Herasimenia,24.28,2
362,722,London,2012,50m,Freestyle,Women,NED,Marleen Veldhuis,24.39,3
363,723,London,2012,50m,Freestyle,Women,GER,Britta Steffen,24.46,4
364,724,London,2012,50m,Freestyle,Women,GBR,Francesca Halsall,24.47,4
365,725,London,2012,50m,Freestyle,Women,SWE,Therese Alshammar,24.61,4
366,726,London,2012,50m,Freestyle,Women,USA,Jessica Hardy,24.62,4
367,727,London,2012,50m,Freestyle,Women,BAH,Arianna Vanderpool-Wallace,24.69,4
368,736,Beijing,2008,100m,Backstroke,Men,USA,Aaron Peirsol,52.54,1
369,737,Beijing,2008,100m,Backstroke,Men,USA,Matt Grevers,53.11,2
370,738,Beijing,2008,100m,Backstroke,Men,RUS,Arkady Vyatchanin,53.18,3
371,739,Beijing,2008,100m,Backstroke,Men,AUS,Hayden Stoeckel,53.18,3
372,740,Beijing,2008,100m,Backstroke,Men,AUS,Ashley Delaney,53.31,4
373,741,Beijing,2008,100m,Backstroke,Men,GBR,Liam Tancock,53.39,4
374,742,Beijing,2008,100m,Backstroke,Men,ESP,Aschwin Wildeboer Faber,53.51,4
375,743,Beijing,2008,100m,Backstroke,Men,JPN,Junichi Miyashita,53.99,4
