,Unnamed: 0,Location,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
0,0,Tokyo,2020,100m,Backstroke,Men,ROC,Evgeny Rylov,51.98,1
1,1,Tokyo,2020,100m,Backstroke,Men,ROC,Kliment Kolesnikov,52.0,2
2,2,Tokyo,2020,100m,Backstroke,Men,USA,Ryan Murphy,52.19,3
3,3,Tokyo,2020,100m,Backstroke,Men,ITA,Thomas Ceccon,52.3,4
4,4,Tokyo,2020,100m,Backstroke,Men,CHN,Jiayu Xu,52.51,4
5,5,Tokyo,2020,100m,Backstroke,Men,ESP,Hugo Gonzalez De Oliveira,52.78,4
6,6,Tokyo,2020,100m,Backstroke,Men,AUS,Mitchell Larkin,52.79,4
7,7,Tokyo,2020,100m,Backstroke,Men,ROU,Robert Glinta,52.95,4
8,8,Tokyo,2020,100m,Breaststroke,Men,GBR,Adam Peaty,57.37,1
9,9,Tokyo,2020,100m,Breaststroke,Men,NED,Arno Kamminga,58.0,2
10,10,Tokyo,2020,100m,Breaststroke,Men,ITA,Nicolo Martinenghi,58.33,3
11,11,Tokyo,2020,100m,Breaststroke,Men,USA,Michael Andrew,58.84,4
12,12,Tokyo,2020,100m,Breaststroke,Men,GBR,James Wilby,58.96,4
13,13,Tokyo,2020,100m,Breaststroke,Men,CHN,Zibei Yan,58.99,4
14,14,Tokyo,2020,100m,Breaststroke,Men,USA,Andrew Wilson,58.99,4
15,15,Tokyo,2020,100m,Breaststroke,Men,BLR,Ilya Shymanovich,59.36,4
16,16,Tokyo,2020,100m,Butterfly,Men,USA,Caeleb Dressel,49.45,1
17,17,Tokyo,2020,100m,Butterfly,Men,HUN,Kristof Kristof Milak,49.68,2
18,18,Tokyo,2020,100m,Butterfly,Men,SUI,Noe Ponti,50.74,3
19,19,Tokyo,2020,100m,Butterfly,Men,ROC,Andrei Minakov,50.88,4
20,20,Tokyo,2020,100m,Butterfly,Men,POL,Jakub Majerski,50.92,4
21,21,Tokyo,2020,100m,Butterfly,Men,AUS,Matthew Temple,50.92,4
22,22,Tokyo,2020,100m,Butterfly,Men,GUA,Luis Martinez,51.09,4
23,23,Tokyo,2020,100m,Butterfly,Men,BUL,Josif Miladinov,51.49,4
24,24,Tokyo,2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02,1
25,25,Tokyo,2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08,2
26,26,Tokyo,2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44,3
27,27,Tokyo,2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72,4
28,28,Tokyo,2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82,4
29,29,Tokyo,2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86,4
30,30,Tokyo,2020,100m,Freestyle,Men,ROU,David Popovici,48.04,4
31,31,Tokyo,2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1,4
96,96,Tokyo,2020,50m,Freestyle,Men,USA,Caeleb Dressel,21.07,1
